고객ID,성별,연령대,구매금액,구매사유
CUST_145,여성,50대,264616,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_146,여성,40대,360682,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_147,남성,50대,492104,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_148,남성,50대,320322,브랜드 신뢰도가 높아서 믿고 구매했습니다.
CUST_149,남성,20대,346985,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_150,남성,50대,105278,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_151,여성,50대,181627,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_152,여성,40대,186947,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_153,여성,50대,142262,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_154,여성,20대,402704,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_155,남성,40대,127556,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_156,남성,20대,139647,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_157,남성,30대,135066,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_158,여성,20대,305682,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_159,여성,40대,412075,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_160,남성,20대,417786,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_161,여성,20대,313397,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_162,여성,50대,217961,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_163,남성,30대,63425,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_164,남성,20대,192034,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_165,여성,40대,46153,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_166,여성,20대,455422,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_167,여성,20대,237291,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_168,여성,30대,238320,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_169,여성,50대,253727,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_170,여성,40대,456542,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_171,남성,40대,472228,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_172,남성,50대,308765,브랜드 신뢰도가 높아서 믿고 구매했습니다.
CUST_173,여성,40대,25047,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_174,여성,30대,265616,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_175,여성,40대,188435,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_176,여성,20대,280861,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_177,남성,30대,387526,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_178,여성,30대,372078,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_179,여성,50대,425725,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_180,남성,40대,126180,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_181,남성,40대,358106,브랜드 신뢰도가 높아서 믿고 구매했습니다.
CUST_182,여성,50대,300179,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_183,여성,50대,401084,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_184,여성,40대,378498,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_185,여성,40대,141807,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_186,남성,30대,175438,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_187,남성,30대,123447,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_188,여성,40대,62704,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_189,여성,30대,199205,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_190,여성,20대,381205,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_191,남성,40대,33863,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_192,여성,30대,344427,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_193,남성,20대,310974,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_194,여성,50대,240932,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_195,남성,20대,142371,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_196,남성,20대,220086,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_197,남성,20대,89548,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_198,여성,20대,140123,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_199,여성,30대,416686,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_200,여성,50대,486317,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
