주문번호,판매제품군,판매처,매출액,고객만족도,고객건의사항
ORD_053,식품,백화점,536934,4,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_054,도서,대형마트,1448466,1,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_055,뷰티,백화점,204899,4,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_056,식품,대형마트,1389951,4,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_057,도서,대형마트,467788,4,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_058,가전,백화점,849778,5,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_059,식품,대형마트,1516494,3,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_060,도서,대형마트,66982,5,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_061,식품,전문점,1796589,3,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_062,식품,대형마트,509285,2,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_063,뷰티,백화점,1367531,1,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_064,뷰티,전문점,119970,5,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_065,의류,온라인쇼핑몰,1957627,3,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_066,도서,백화점,471097,2,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_067,뷰티,대형마트,1791627,2,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_068,도서,대형마트,1615648,3,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_069,도서,온라인쇼핑몰,345188,2,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_070,식품,대형마트,239378,4,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_071,뷰티,온라인쇼핑몰,1003755,3,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_072,식품,전문점,1774734,3,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_073,의류,전문점,102480,5,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_074,뷰티,백화점,1408225,1,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_075,뷰티,전문점,294687,2,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_076,가전,대형마트,1083108,1,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_077,의류,백화점,865049,4,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_078,식품,전문점,1281741,2,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_079,가전,전문점,1341116,4,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_080,가전,대형마트,505647,4,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_081,의류,대형마트,258361,3,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_082,뷰티,온라인쇼핑몰,884959,3,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_083,가전,전문점,242253,2,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_084,가전,온라인쇼핑몰,1700027,3,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_085,의류,백화점,193885,5,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_086,식품,백화점,1755095,2,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_087,의류,온라인쇼핑몰,631487,2,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_088,식품,대형마트,1724604,2,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_089,가전,백화점,81164,3,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_090,식품,대형마트,83095,2,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_091,가전,백화점,1605495,4,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_092,가전,온라인쇼핑몰,1048760,4,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_093,식품,온라인쇼핑몰,997924,5,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_094,식품,온라인쇼핑몰,1575139,5,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_095,도서,온라인쇼핑몰,177560,4,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_096,도서,온라인쇼핑몰,1078168,4,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_097,가전,대형마트,1325692,2,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_098,의류,대형마트,1359288,5,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_099,뷰티,전문점,1302821,5,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_100,도서,전문점,257992,1,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_101,의류,전문점,996979,2,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_102,뷰티,전문점,886197,4,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_103,뷰티,전문점,705409,3,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_104,의류,전문점,190788,1,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_105,가전,전문점,252510,3,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_106,식품,온라인쇼핑몰,1279906,5,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_107,뷰티,온라인쇼핑몰,911528,3,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_108,가전,대형마트,1309151,3,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_109,가전,백화점,374492,4,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_110,가전,대형마트,1822876,5,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_111,가전,대형마트,1253974,2,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_112,식품,온라인쇼핑몰,1327154,3,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_113,의류,대형마트,1523666,3,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_114,뷰티,온라인쇼핑몰,430435,2,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_115,도서,온라인쇼핑몰,347532,1,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_116,식품,백화점,838936,4,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_117,뷰티,백화점,826057,3,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_118,식품,온라인쇼핑몰,1902502,1,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_119,의류,온라인쇼핑몰,1463414,1,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_120,도서,전문점,1068506,5,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_121,도서,대형마트,502080,5,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_122,뷰티,전문점,282552,3,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_123,도서,대형마트,145247,2,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_124,식품,온라인쇼핑몰,66120,2,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_125,의류,백화점,1652561,3,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_126,뷰티,온라인쇼핑몰,66210,4,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_127,의류,백화점,847352,5,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_128,식품,대형마트,201153,4,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_129,도서,온라인쇼핑몰,1014174,1,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_130,식품,전문점,1252506,4,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_131,뷰티,온라인쇼핑몰,899414,1,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_132,의류,전문점,1794884,3,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_133,도서,온라인쇼핑몰,560271,4,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_134,도서,온라인쇼핑몰,879982,3,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_135,의류,대형마트,1683928,2,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_136,식품,온라인쇼핑몰,1162758,5,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_137,뷰티,대형마트,1575424,2,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_138,가전,백화점,586804,2,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_139,식품,백화점,1644287,1,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_140,도서,전문점,1632187,5,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_141,도서,대형마트,1862457,3,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_142,도서,온라인쇼핑몰,1033398,4,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_143,뷰티,온라인쇼핑몰,788076,5,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_144,뷰티,전문점,997732,1,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_145,뷰티,대형마트,210916,1,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_146,식품,전문점,1020376,5,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_147,가전,전문점,1956415,5,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_148,뷰티,전문점,1101443,2,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_149,도서,온라인쇼핑몰,1750720,3,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_150,식품,백화점,132086,2,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_151,도서,백화점,813149,3,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_152,도서,전문점,1674170,3,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_153,가전,대형마트,188227,3,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_154,식품,전문점,645899,3,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_155,의류,대형마트,220922,5,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_156,뷰티,대형마트,1425846,4,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_157,식품,온라인쇼핑몰,699240,5,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_158,뷰티,백화점,1455335,5,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_159,도서,대형마트,88232,3,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_160,의류,백화점,766664,4,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_161,의류,백화점,374943,1,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_162,가전,온라인쇼핑몰,1438166,3,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_163,의류,전문점,373491,2,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_164,식품,백화점,1562430,4,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_165,도서,대형마트,1468435,2,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_166,식품,대형마트,1627878,4,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_167,식품,백화점,699001,4,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_168,뷰티,전문점,1018213,3,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_169,식품,전문점,389860,2,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_170,의류,대형마트,159428,4,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_171,식품,온라인쇼핑몰,1541915,5,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_172,뷰티,온라인쇼핑몰,1650371,2,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_173,도서,백화점,1792831,4,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_174,의류,전문점,1905203,3,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_175,도서,온라인쇼핑몰,881424,5,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_176,의류,전문점,221139,3,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_177,가전,대형마트,257792,3,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_178,의류,온라인쇼핑몰,651629,4,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_179,도서,전문점,1340478,1,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_180,가전,대형마트,502260,2,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_181,식품,전문점,283175,3,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_182,뷰티,온라인쇼핑몰,150137,2,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_183,식품,전문점,181716,1,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_184,식품,온라인쇼핑몰,1375305,5,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_185,의류,백화점,660841,4,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_186,식품,대형마트,554499,5,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_187,의류,온라인쇼핑몰,1147826,3,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_188,식품,온라인쇼핑몰,868840,4,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_189,도서,대형마트,581943,1,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_190,가전,대형마트,555677,1,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_191,뷰티,백화점,142978,3,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_192,뷰티,백화점,1791440,4,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_193,의류,백화점,182331,4,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_194,뷰티,백화점,141868,2,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_195,뷰티,대형마트,1130837,4,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_196,도서,대형마트,126799,2,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_197,뷰티,온라인쇼핑몰,1865710,3,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_198,가전,대형마트,966353,4,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_199,도서,대형마트,441784,4,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_200,뷰티,대형마트,1730129,1,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
